round,binSize,type,score,del_fl
0,50,nat,0.8971028971028973,"1,4,8,10,11,12,14,15,16,17,19,20,22,23,24,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,43,45,46,47,48,49,51,52,53,54,55,58,60,61,62,63,64,65,66,67"
0,50,pi,0.8544600938967137,"23,39,29,156,36,125,111,41,152,252,235,236,15,16,62,43,54,37,160,47,61,40,31,51,49,34,45,30,32,48,33,53,52"
0,25,nat,0.8493408662900188,"289,290,291,292,293,294,295,296"
0,25,pi,0.882583170254403,"34,45,30,32,48,33,53,52"
0,15,nat,0.8726919339164236,"100,101,102,110,111,112,116,120,121,123,125,127,129,130,131"
0,15,pi,0.882583170254403,"34,45,30,32,48,33,53,52"
0,10,nat,0.8456501403180543,"19,20,22,23,24,26,27,28,29,30"
0,10,pi,0.8574126534466479,"17,19,20,24,26,27,28,38,55,58"
0,5,nat,0.8647619047619048,"1,4,8,10,11"
0,5,pi,0.8680688336520077,"34,45,30,32,48"
0,50,nat,0.904,"239,240,241,242,243,244,245,246"
0,50,pi,0.9116465863453815,"6,61,12,11,58,54,175,56"
0,25,nat,0.904,"239,240,241,242,243,244,245,246"
0,25,pi,0.9116465863453815,"6,61,12,11,58,54,175,56"
0,15,nat,0.902,"234,235,236,237,238,239,240,241,242,243,244,245,246"
0,15,pi,0.9168356997971603,"92,93,128,94,127,126,125,124,1,122,53,98,63,32,89"
0,10,nat,0.9087261785356067,"47,48,49,50,51,52,53,54,56,57"
0,10,pi,0.9116465863453815,"6,61,12,11,58,54,175,56"
0,5,nat,0.9043824701195219,"63,64,65,67,68"
0,5,pi,0.9127382146439318,"188,109,48,186,185"
1,50,nat,0.903225806451613,"219,220,221,222,223,224,225,226,227,228,229,230,231"
1,50,pi,0.9018830525272548,"11,54,160,6,68,61,7,64,57,10,12,51,5"
1,25,nat,0.9171717171717172,"28,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,54,55"
1,25,pi,0.9018830525272548,"11,54,160,6,68,61,7,64,57,10,12,51,5"
1,15,nat,0.9103726082578047,"17,18,19,20,21,22,23,25,26,27,28,30,31,33,34"
1,15,pi,0.9066937119675456,"44,45,114,65,47,48,50,83,85,86,113,112,111,110,109"
1,10,nat,0.906906906906907,"229,230,231"
1,10,pi,0.9149797570850203,"11,54,160,6,68,61,7,64,57,10"
1,5,nat,0.907815631262525,"63,64,65,66,67"
1,5,pi,0.9122098890010091,"206,197,198,199,200"
2,50,nat,0.8805394990366088,"185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206"
2,50,pi,0.9004926108374385,"204,205,186,185,184,173,165,166,111,168,169,170,171,172,174,183,175,176,177,178,179,180,181,182,112,103,110,60,78,76,75,74,70,69,68,109,66,64,63,62,61,55,80,54,53,52,51,50,48,29"
2,25,nat,0.8989205103042199,"157,159,161,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184"
2,25,pi,0.905284147557328,"103,110,60,78,76,75,74,70,69,68,109,66,64,63,62,61,55,80,54,53,52,51,50,48,29"
2,15,nat,0.9096385542168675,"200,201,202,203,204,205,206"
2,15,pi,0.9134808853118712,"61,55,80,54,53,52,51,50,48,29,23,20,19,18,17"
2,10,nat,0.9058473736372646,"28,29,30,32,33,34,35,39,40,41"
2,10,pi,0.9087261785356067,"12,10"
2,5,nat,0.9136546184738956,"89,90,92,93,94"
2,5,pi,0.9125628140703518,"148,47,1,5,9"
